N,result_leg,result_lag,error_leg,error_lag,time_leg,time_lag
2,0.0001421780134069963,0.3188120325327727,0.19262353294536955,-0.12604632157399615,4.062299558427185e-05,1.62170035764575e-05
3,0.33411521906761177,0.27685699515942647,-0.14134950810883523,-0.08409128420064993,3.4709002648014575e-05,4.314699617680162e-05
4,0.01520722729628894,0.21245295776208603,0.1775584836624876,-0.019687246803309494,0.00012100400635972619,0.00014678399747936055
5,0.35460216492991103,0.17049197451179743,-0.1618364539711345,0.02227373644697911,0.00020321599731687456,0.00026876099582295865
6,0.05942275656267111,0.15463692365203655,0.13334295439610544,0.03812878730673999,0.0003538610035320744,0.00047199999971780926
7,0.3011231226376086,0.1544220724323502,-0.10835741167883206,0.03834363852642633,0.0007919449999462813,0.0008530699997209013
8,0.10119626583692794,0.1611254189602866,0.0915694451218486,0.031640291998489944,0.0012244429963175207,0.0012145639993832447
9,0.25408505560064937,0.16950535794666127,-0.06131934464187283,0.023260353012115265,0.0031769430061103776,0.004261399000824895
10,0.1298342478608556,0.17708076571852904,0.06293146309792094,0.015684945240247494,0.009501878994342405,0.008253583997429814
11,0.22500843413703467,0.18302186535782447,-0.03224272317825813,0.009743845600952067,0.015100911004992668,0.018690515003982
12,0.1481789102841957,0.18730541444624957,0.044586800674580845,0.005460296512526969,0.02841932799492497,0.030282150000857655
13,0.2085693267356189,0.19021765986748346,-0.01580361577684236,0.00254805109129308,0.05013361800229177,0.05912933599756798
14,0.1600095893686404,0.19210773972519493,0.032756121590136134,0.0006579712335816057,0.08528082900011213,0.09151562999613816
15,0.19947477699709826,0.1932853392907318,-0.0067090660383217204,-0.000519628331955263,0.13455519400304183,0.16160436000063783
16,0.1678604368087336,0.19399061533947334,0.024905274150042928,-0.0012249043806968063,0.0792331360062235,0.10312561199680204
17,0.19446175106256555,0.1943957348997919,-0.001696040103789015,-0.0016300239410153572,0.15710064099403098,0.17532571699848631
18,0.17324723120317814,0.1946174969229527,0.019518479755598395,-0.0018517859641761503,0.23794615400402108,0.25864316100341966
19,0.19171108312007512,0.19473169530609027,0.0010546278387014163,-0.0019659843473137373,0.35746685000049183,0.4110357120007393
20,0.17706518178577452,0.19478557830520413,0.01570052917300202,-0.0020198673464275896,0.5209857910012943,0.5733065099993837
21,0.19022759230430408,0.1948074339901014,0.0025381186544724543,-0.0020417230313248547,0.7435077810005168,0.826715235998563
22,0.1798523821679388,0.19481345459488006,0.01291332879083773,-0.0020477436361035217,1.1130865539962542,1.1488902529963525
23,0.18946280721153827,0.19481240800673671,0.003302903747238267,-0.0020466970479601776,1.4604387490035151,1.5670912549976492
24,0.18194123086419872,0.19480868840591462,0.010824480094577815,-0.002042977447138078,1.0366449220018694,1.1797705349963508
25,0.18910953006631734,0.1948042354426071,0.0036561808924591988,-0.0020385244838305727,1.4194901250011753,1.5998924570012605
26,0.18354323745850087,0.19479969725247123,0.009222473500275663,-0.002033986293694695,2.0239703039987944,2.1611006729945075
27,0.18899258745088243,0.194795106591841,0.003773123507894105,-0.0020293956330644514,2.774356304995308,3.0329706860065926
28,0.18479694911846278,0.19479025428084656,0.007968761840313754,-0.002024543322070027,3.674590693000937,4.01006518399663
29,0.1890104204840694,0.19478488123308818,0.003755290474707129,-0.0020191702743116435,4.748866605004878,5.385748669003078
30,0.1857956236956423,0.19477876619785384,0.00697008726313425,-0.0020130552390772993,6.194330571001046,6.7248908699984895
31,0.1891033447895316,0.1947717566784644,0.003662366169244924,-0.0020060457196878767,7.822645890999411,9.053480557995499
32,0.18660362578170658,0.19476377118580285,0.006162085177069954,-0.0019980602270263104,5.65449927499867,6.551067778003926
33,0.18923595382994085,0.19475478886871872,0.0035297571288356866,-0.001989077909942183,7.3974686980000115,8.628120501998637
34,0.18726640353436422,0.1947448351299249,0.00549930742441232,-0.001979124171148372,9.52350841400039,11.045931190994452
35,0.18938715928487174,0.1947339675228831,0.0033785516739048005,-0.0019682565641065686,12.314283332998457,14.149458635998599
36,0.18781671918642165,0.19472226374124968,0.004948991772354888,-0.001956552782473142,15.456248665999738,18.068506857998727
37,0.18954444069600135,0.19470981223594383,0.003221270262775189,-0.0019441012771672928,19.273085495995474,23.087411117005104
38,0.1882786370227718,0.19469670530885846,0.004487073936004726,-0.001930994350081927,23.17032929000561,27.693791206998867
39,0.18970046390358364,0.19468303434266163,0.003065247055192899,-0.001917323383885089,28.597561556001892,33.503664171999844
40,0.18867013544081898,0.19466888668808882,0.004095575517957556,-0.0019031757293122842,21.198701549998077,25.491772285997286
41,0.18985105945428593,0.19465434382342134,0.0029146515044906063,-0.0018886328646448014,26.545307344997127,32.60143469800096
42,0.18900485475961604,0.19463948036726514,0.0037608561991605005,-0.0018737694084886014,33.06070403400372,40.64734273299837
43,0.18999399671518036,0.19462436375525505,0.0027717142435961795,-0.0018586527964785104,40.11959304699849,50.22452965100092
44,0.1892932900287049,0.1946090542982961,0.0034724209300716347,-0.0018433433395195764,48.47284157299873,59.38837537699874
45,0.19012823113858357,0.19459360549447047,0.0026374798201929672,-0.0018278945356939302,58.31880698099849,73.66367348799395
46,0.18954362002398356,0.19457806449349985,0.003222090934792976,-0.00181235353472331,69.86191063199658,84.98720126199623
47,0.19025343807450792,0.19456247263001533,0.0025122728842686126,-0.0017967616712387946,82.68069522700534,101.41153590400063
48,0.18976229330228545,0.19454686596548526,0.003003417656491092,-0.0017811550067087234,63.12398039400432,81.33389133299352
49,0.1903697216326444,0.19453127587266128,0.0023959893261321363,-0.001765564913884743,79.72012191300018,100.92593614300131
50,0.1899544489447701,0.19451572948455642,0.0028112620140064437,-0.001750018525779884,109.77334179099853,119.5406881700037
